model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,training_seconds,status
Logistic Regression,0.7908163265306123,0.6557377049180328,0.15853658536585366,0.5,0.24074074074074073,0.6879991593106347,0.1608690649681855,0.129009699987364,trained
Gradient Boosting,0.9056122448979592,0.5742959226565784,0.23809523809523808,0.19230769230769232,0.2127659574468085,0.6362967633459437,0.147578046357825,2.343069900001865,trained
Support Vector Machine,0.8673469387755102,0.5895334174022698,0.175,0.2692307692307692,0.21212121212121213,0.7095418242959227,0.1685469519428001,0.21587440000439528,trained
Random Forest,0.9336734693877551,0.5,0.0,0.0,0.0,0.7331336696090794,0.23797617515686195,0.40413719999196474,trained
